GET,POST,COOKIE,REQUEST,FILES,SESSION,elseif,for,foreach,DEF,FAF,RCF,ICF,maxWordLen,maxLineLen,entropy,Type
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,28,132,4.687,0
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,65,116,5.425,0
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,66,0,5.202,0
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,46,135,5.065,0
1,0,1,0,0,0,0.0,0.0,0.0,0,3,0,2,95,270,5.434,0
1,0,0,4,0,0,0.032,0.032,1.423,0,85,0,471,738,757,5.646,0
0,0,0,0,0,5,0.0,0.0,0.0,0,4,0,10,58,269,5.291,0
0,0,0,0,0,0,0.0,0.0,0.0,0,6,0,39,58,269,4.54,0
0,0,0,3,0,1,0.0,0.0,0.0,0,0,0,0,44,90,4.507,0
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,23,0,4.981,0
1,0,0,12,0,0,1.176,0.0,0.0,0,1,0,4,84,232,5.536,0
2,0,0,0,0,0,0.0,0.0,0.901,0,2,0,33,82,368,5.482,0
0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,8,45,271,4.797,0
4,29,0,0,0,0,0.64,0.0,0.16,0,28,0,46,47,558,5.155,0
0,0,0,0,0,0,0.258,0.0,2.067,0,1,0,40,46,134,4.952,0
0,0,0,23,0,0,0.0,0.0,0.0,0,1,0,5,62,130,5.417,0
0,5,0,1,0,1,0.0,0.0,0.0,0,3,0,0,49,98,4.359,0
0,0,0,0,0,0,0.0,0.0,0.0,0,1,1,4,72,240,5.547,0
0,0,0,0,0,8,0.0,0.0,1.471,0,16,0,10,39,182,4.966,0
0,0,0,0,0,0,0.0,0.0,0.37,0,0,0,68,78,366,5.434,0
4,4,2,0,0,0,2.548,0.0,0.0,0,9,0,9,33,398,5.302,0
0,0,0,0,0,0,5.6,0.0,0.0,0,13,1,20,36,154,4.654,0
0,0,0,0,0,0,0.548,0.274,1.643,1,54,0,334,92,388,5.385,0
0,0,0,0,0,0,0.0,0.0,3.977,0,6,0,35,44,173,5.038,0
4,0,0,0,0,0,0.33,0.0,0.66,0,4,0,95,92,331,5.494,0
0,0,0,0,0,0,0.109,0.0,0.979,0,5,0,116,2331,2344,5.514,0
2,0,0,0,0,0,0.0,0.0,2.985,0,5,0,2,24,170,5.145,0
0,0,0,0,0,0,0.0,0.0,1.01,0,4,0,75,84,384,5.391,0
0,0,0,0,0,0,0.0,0.463,0.0,0,6,0,11,67,85,5.238,0
0,0,0,0,0,0,0.82,0.492,0.492,0,12,0,55,102,213,5.363,0
0,0,0,0,0,0,0.124,0.0,0.743,0,0,0,0,51,0,4.428,0
0,0,0,0,0,0,0.755,0.189,1.698,0,0,0,0,131,0,4.736,0
2,0,0,0,0,0,0.238,0.0,1.504,0,38,0,260,127,496,5.447,0
0,0,0,0,0,0,0.0,0.0,0.0,0,4,0,0,28,148,4.905,0
0,4,0,5,0,6,0.0,0.0,0.0,0,6,0,2,35,96,4.411,0
2,0,0,0,0,0,0.371,0.0,1.113,0,18,0,202,124,647,5.349,0
0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,20,0,5.027,0
0,0,0,0,0,0,0.273,0.091,1.182,0,0,0,0,634,0,4.452,0
33,33,5,19,0,0,0.914,0.203,0.305,0,48,0,37,106,374,5.192,0
